name,country,city,employees,bucket,source,specialty,build_signal,source_url,oncology_tags,score,score_breakdown,exclusion_reason,tier
AbbVie Deutschland GmbH,DEU,Ludwigshafen am Rhein,"~2,800","originator_pharma,sterile_generics",research,"Immunology (Humira/adalimumab biologics), neuroscience",EUR 200M Ludwigshafen biologic + sterile fill expansion 2024–26,https://www.abbvie.de/newsroom.html,,9,industry=3/3 capability=2/2 size=2/2 trigger=2/2,,Tier 1
Siegfried,CHE,Zofingen,2187,"cdmo_classic,originator_pharma,sterile_generics,vaccines",crustdata+research+research+research,Pharmaceutical Manufacturing / Siegfried is a leading CDMO with 13 production sites on three continents. With o,CHF 110M Hameln sterile capacity expansion 2024–26; Zofingen API + fill-finish,http://www.siegfried.ch,,9,industry=3/3 capability=2/2 size=2/2 trigger=2/2,,Tier 1
NovaSep (now Axplora) Leverkusen,DEU,Leverkusen,~700,atmp_cell_gene,research,"Plasmid DNA, viral vector chromatography",Leverkusen pDNA capacity expansion 2024,https://www.axplora.com/news,,9,industry=3/3 capability=2/2 size=2/2 trigger=2/2,,Tier 1
Sintetica,CHE,Mendrisio + Couvet,~300,"originator_pharma,sterile_generics",research,"Sterile injectables (anaesthesia, pain, ICU)",CHF 80M Mendrisio Pod-2 sterile expansion 2024–25; Couvet BFS line,https://sintetica.com/sintetica,,9,industry=3/3 capability=2/2 size=2/2 trigger=2/2,,Tier 1
Richter-Helm BioLogics,DEU,"Hamburg, Bovenau",~250,"atmp_cell_gene,sterile_generics",research,"Plasmid DNA, microbial, mRNA inputs",Bovenau pDNA expansion (EUR 70M) commissioning 2025,https://www.richter-helm.eu/en/news,,9,industry=3/3 capability=2/2 size=2/2 trigger=2/2,,Tier 1
Vienna BioCenter / Marinomed-aligned mRNA pilot (ACIB),AUT,Vienna/Graz,~250 (network),atmp_cell_gene,research,"mRNA process dev, viral vector PD",ACIB mRNA pilot line operational 2024; viral-vector PD expansion 2025,https://www.acib.at/news,,9,industry=3/3 capability=2/2 size=2/2 trigger=2/2,,Tier 1
CSL Behring GmbH,DEU,"Marburg, Hattersheim","~3,800 (Marburg)","atmp_cell_gene,originator_pharma,plasma_fractionation",research,"Plasma-derived therapies (immunoglobulins, albumin, factor VIII)","""Protinus"" CHF 250 M (2 IgG lines, 90 k patients/yr extra capacity); 2025 announced Swiss workforce reduction shifting some volume; FY24 group capex USD 849 M",https://www.cslbehring.com/newsroom,,8,industry=3/3 capability=2/2 size=1/2 trigger=2/2,,Tier 1
Octapharma,CHE,Lachen,2925,"originator_pharma,plasma_fractionation,specialty_orphan,sterile_generics",crustdata+research+research+research+research+research,"Pharmaceutical Manufacturing / Family-owned since 1983, Octapharma is a global healthcare company headquartered",EUR 400M Vienna plasma-fractionation + sterile-fill expansion 2024–26 (largest in EU),http://www.octapharma.com,,8,industry=3/3 capability=1/2 size=2/2 trigger=2/2,,Tier 1
Bachem,CHE,Bubendorf,2006,"atmp_cell_gene,originator_pharma,vaccines",crustdata+research+research+research,"Pharmaceutical Manufacturing / The Swiss-based Bachem Group is a public, innovation-driven company specializing",Sisseln (CH) and Vista (US) oligonucleotide expansions 2024–25 supporting mRNA caps,https://bit.ly/2WiI0YG,,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
"Hexal AG (Sandoz Group, originator-adjacent)",DEU,"Holzkirchen, Barleben","~2,000",originator_pharma,research,Generics + originator fill-finish for Sandoz biosimilars,EUR 100M Barleben sterile expansion 2024,https://www.hexal.de/presse,,8,industry=2/3 capability=2/2 size=2/2 trigger=2/2,,Tier 1
Lonza Cell & Gene Therapy,CHE,Visp + Basel,"~2,000 (CGT div)",atmp_cell_gene,research,"CAR-T, TCR-T, iPSC, viral vector CDMO",Visp Ibex Solutions pDNA + mRNA expansion (CHF 500M) ongoing 2024–26; Geneva viral-vector buildout,https://www.lonza.com,oncology_celltherapy,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
Corden Pharma - A Full-Service CDMO,CHE,Basel,1863,"cdmo_classic,oncology_hpapi,originator_pharma",crustdata,Pharmaceutical Manufacturing / CordenPharma is your full-service partner in the Contract Development & Manufact,7.315668202764977% growth,https://www.cordenpharma.com,"cytostatika_hpapi,oncology_general",8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
Boehringer Ingelheim BioXcellence,AUT,Vienna,"~1,800 (Vienna)",atmp_cell_gene,research,"Viral vector (lentivirus, AAV), microbial, mAb",Vienna viral-vector ATMP facility (EUR 700M biotech expansion incl. mRNA pilot) operational 2024,https://www.boehringer-ingelheim.com/biopharmaceuticals,,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2 [manual override],,Tier 1
SCHOTT Pharma,DEU,Mainz,1195,"cdmo_classic,oncology_hpapi,originator_pharma,vaccines",crustdata+research,Pharmaceutical Manufacturing / Human health matters. That is why SCHOTT Pharma designs solutions grounded in sc,7.949412827461607% growth,https://www.schott-pharma.com,cytostatika_hpapi,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
Biotest GmbH & Co. KGaA,DEU,Dreieich,1060,"oncology_hpapi,originator_pharma,plasma_fractionation,specialty_orphan",crustdata+research,"Pharmaceutical Manufacturing / At Biotest, we develop and produce life-saving medicines for seriously ill peopl",9.165808444902163% growth,http://www.biotest.de,,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
Takeda Linz,AUT,Linz,"~1,000",plasma_fractionation,research,"Biologics (oncology + plasma-derived fill/finish), prefilled syringe filling",beePFS Prefilled Syringe project — 2024 ISPE FOYA Operations winner; ongoing biologics line expansion,https://ispe.org/facility-year-awards/winners/2024/operations,oncology_general,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
Rentschler Biopharma,DEU,Laupheim,898,"cdmo_classic,sterile_generics,vaccines",crustdata+research+research+research,Biotechnology Research / Rentschler Biopharma is a leading contract development and manufacturing organiz,€150M Laupheim expansion + Milford US 2024,http://www.rentschler-biopharma.com,,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
Pfizer Illertissen (BioNTech-comirnaty + injectables),DEU,Illertissen,800,sterile_generics,research,,Cytotoxic line expansion EUR 40M,pfizer.de,cytostatika_hpapi,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
CARBOGEN AMCIS,CHE,Bubendorf,735,"oncology_hpapi,originator_pharma",crustdata,Pharmaceutical Manufacturing / CARBOGEN AMCIS leverages its world-class chemistry skills to provide seamless dr,2.083333333333333% growth,https://www.carbogen-amcis.com,"adc,cytostatika_hpapi",8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
Wacker Biotech,DEU,Halle / Jena / Amsterdam,~700 (biotech div.),"atmp_cell_gene,vaccines",research,"Live viral vaccines, pDNA for mRNA backbones; CordenPharma group",Halle mRNA suite operational 2024; pDNA capacity scale-up at Jena 2025,https://www.wacker.com/cms/en-us/about-wacker/wacker-facts/businesses/biosolutions/biosolutions.html,,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
Kite Pharma EU (Gilead),DEU,Hochstadt (Bavaria),~600,atmp_cell_gene,research,"Autologous CAR-T (Yescarta, Tecartus) commercial",2024 vector facility expansion; 2025 capacity doubling,https://www.kitepharma.com,oncology_celltherapy,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
Richter Pharma AG,AUT,Wels,~520 (Wels site),veterinary_pharma,research,"Vet sterile injectables (CDMO global #1 in horse + small animal sterile), generics",Wels mega-expansion 2023-2026 EUR 80 m (new sterile suite + warehouse),https://www.richter-pharma.at,,8,industry=2/3 capability=2/2 size=2/2 trigger=2/2,,Tier 1
Polpharma Biologics,CHE,Zug,517,cdmo_classic,crustdata,Biotechnology Research / Polpharma Biologics is a biopharmaceutical company headquartered in Switzerland ,-50.808753568030454% growth,https://www.polpharmabiologics.com/,,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
IDT Biologika,DEU,Dessau,495,"atmp_cell_gene,cdmo_classic,vaccines",crustdata+research+research+research,"Pharmaceutical Manufacturing / IDT Biologika is your full-service CDMO for viral vaccines, cell & gene therapeu",EUR 100M+ Dessau viral-vector expansion completed 2024; mRNA drug-product line online 2025,https://idt-biologika.com,,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
Biosynth,CHE,Thal,410,"oncology_hpapi,vaccines",crustdata,"Pharmaceutical Manufacturing / Critical Raw Materials and Services for Diagnostics, Vaccines and Pharmaceutical",-5.092592592592593% growth,https://www.biosynth.com,adc,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
Minaris Regenerative Medicine (ex-Eufets),DEU,Idar-Oberstein,~350,atmp_cell_gene,research,"CAR-T, TCR-T, MSC, dendritic cell CDMO",2024 expansion of fill/finish + cryostorage; serving Adaptimmune/Medigene,https://www.minaris-rm.com,oncology_celltherapy,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
Celonic Group,CHE,Basel,344,cdmo_classic,crustdata,Pharmaceutical Manufacturing / Celonic is a “Pure Play” Biologics Contract Development Manufacturing Organizati,6.5015479876160995% growth,http://www.celonic.com,,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
ADC Therapeutics,CHE,Lausanne,282,"atmp_cell_gene,late_stage_biotech,oncology_hpapi",crustdata,Biotechnology Research / ADC Therapeutics is a commercial-stage global pioneer in the field of antibody d,-11.598746081504702% growth,http://www.adctherapeutics.com,"adc,oncology_general,radiopharma",8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
BioNTech IMFS,DEU,Idar-Oberstein,243,"atmp_cell_gene,cdmo_classic",crustdata,Biotechnology / BioNTech Innovative Manufacturing Services (IMFS) is a subsidary of BioNTech SE.,-6.896551724137931% growth,http://www.biontech-imfs.de,,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
Cellex Cell Professionals,DEU,Cologne,224,"atmp_cell_gene,cdmo_classic",crustdata+research,Biotechnology Research / Cellex Cell Professionals is a full-service CDMO for cell therapyCellex supports,2024 expansion; spin-off Glycostem partnership,http://www.cellex.me,oncology_celltherapy,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
Bavarian Nordic,DK,Martinsried (R&D),~200 (DE),"late_stage_biotech,specialty_orphan,vaccines",research,"Rare/serious infectious disease vaccines (mpox, smallpox – Imvanex/Jynneos)",Mfg in Kvistgård (DK) + Thörishaus (CH); fill/finish capex ongoing,https://www.bavarian-nordic.com/locations/martinsried.aspx,,8,industry=3/3 capability=1/2 size=2/2 trigger=2/2,non_target_country,Excluded
Aldevron (Danaher) Halle/Saale,DEU,Halle (former Polymun-aligned site via Cytiva),~150 (DE),atmp_cell_gene,research,"pDNA, mRNA inputs",DE pDNA satellite expansion 2024 (Aldevron Fargo HQ),https://www.aldevron.com/news,,8,industry=3/3 capability=2/2 size=1/2 trigger=2/2,,Tier 1
Polymun Scientific,AUT,Klosterneuburg,~140,"atmp_cell_gene,late_stage_biotech,vaccines",research,LNP manufacturing for mRNA vaccines (BioNTech partner),"Operational LNP/lipo GMP — supports BioNTech, Curevac historically; capex ongoing",https://www.polymun.com/,,8,industry=3/3 capability=2/2 size=1/2 trigger=2/2,,Tier 1
Fresenius Kabi,DEU,Bad Homburg,24186,"atmp_cell_gene,originator_pharma,specialty_orphan,sterile_generics",crustdata+research+research+research,"Pharmaceutical Manufacturing / As a global healthcare company, Fresenius Kabi is Committed to Life. The company",EUR 250M Friedberg sterile-fill expansion 2024–25; biosimilar fill-finish line,http://www.fresenius-kabi.com,oncology_general,7,industry=3/3 capability=2/2 size=0/2 trigger=2/2,,Tier 1
Roche Diagnostics / Roche Pharma,DEU,"Penzberg, Mannheim","~8,500",originator_pharma,research,"Biologics (Avastin, Herceptin, MabThera), diagnostics reagents",EUR 700M Penzberg new biologics & fill-finish facility (commissioning 2024–2026),https://www.roche.com/media/releases/med-cor-2022-04-25,,7,industry=2/3 capability=2/2 size=1/2 trigger=2/2 [manual override],,Tier 1
Sartorius,DEU,Göttingen,6826,"bioprocess_vendors,late_stage_biotech,vaccines",crustdata,Biotechnology Research / Sartorius is a leading international partner of biopharma research and manufactu,7.040928336208248% growth,http://www.sartorius.com,,7,industry=3/3 capability=2/2 size=1/2 trigger=1/2,direct_competitor,Excluded
Vetter Pharma-Fertigung (originator-owned where exclusive),DEU,"Ravensburg, Langenargen","~6,500","bioprocess_vendors,originator_pharma,sterile_generics",research,NOTE: borderline CDMO; included only because of originator-owned biologics fill-finish JV,EUR 200M Ravensburg Schützenstrasse expansion + USA but DACH HQ; Langenargen lyo new build 2025,https://www.vetter-pharma.com/en/news,,7,industry=3/3 capability=2/2 size=1/2 trigger=1/2,,Tier 1
Ferring Pharmaceuticals,CHE,Saint-Prex,6217,"atmp_cell_gene,originator_pharma,specialty_orphan",crustdata,"Pharmaceutical Manufacturing / Ferring Pharmaceuticals is a privately owned, research-driven, specialty biophar",1.0729962607706063% growth,http://www.ferring.com,oncology_general,7,industry=3/3 capability=2/2 size=1/2 trigger=1/2,,Tier 1
Miltenyi Biotec,DEU,Bergisch Gladbach (HQ) + Teterow,"~5,000",atmp_cell_gene,research,"Autologous CAR-T, NK, gene-modified TILs (CliniMACS Prodigy platform)",2024: Teterow site expansion; 2025: new viral vector + cell therapy lines,https://www.miltenyibiotec.com,oncology_celltherapy,7,industry=3/3 capability=2/2 size=1/2 trigger=1/2,,Tier 1
