person_name,title,seniority,years_at_company,company,company_linkedin_id,person_linkedin_url,location,headline
Martin Bultmann,"Director, Head of Process Engineering Sciences, NBE, LU",Director,8,AbbVie Deutschland GmbH & Co,,https://www.linkedin.com/in/ACoAAAH81QYBmLr7NpckbK2eLldVhvGKSIxyQZM,,"Director, Research Fellow, Head of Process Engineering Sciences, NBE, Ludwigshafen at AbbVie Deutschland GmbH & Co. KG"
Jens Wiemer,Deputy Head of Radiopharmaceutical Production,Director,2,ABX advanced biochemical compounds GmbH,3848380,https://www.linkedin.com/in/ACoAAFDYmRcBDUcmAWteFdkZXboW6pTZLTIpR9k,,Deputy Head of Radiopharmaceutical Production bei ABX advanced biochemical compounds GmbH
Sophia Möbius,Head of Radiopharmaceutical Production,Director,2,ABX advanced biochemical compounds GmbH,3848380,https://www.linkedin.com/in/ACoAACBW3-QBoagy2pmIwBCxZkAbb85-aqnlR-o,,Head of Radiopharmaceutical Production
Piergiorgio Donati,Chief of Technical Operations Officer,CXO,6,AC Immune,110202,https://www.linkedin.com/in/ACoAAAHIpgABbQ3f_59duqi9d3mK74795k8t0K8,,Chief of Technical Operations Officer at AC Immune
Susanna Marazzi,Head of manufacturing and CMC development,Director,1,AC Immune,110202,https://www.linkedin.com/in/ACoAAASF3hsB9lk6JYbvoeEYnsrXTiVos4hW4NI,,Head of Manufacturing & CMC development
Jim Jackson,"Vice President, Global Operations and Supply",Vice President,0,ADC Therapeutics,8297253,https://www.linkedin.com/in/ACoAAABdSIYBInjvknVVogE2yPSEg_hDZA52Yfo,,…
Lynda Devine,"Senior Director, Chemical Manufacturing",Director,0,ADC Therapeutics,8297253,https://www.linkedin.com/in/ACoAAA_q13kBOZqXgH6fjwDNGa1QtbkJLtZWsl0,,"Senior Director, Chemical Manufacturing"
Kirk Hayenga,Head of Manufacturing Technical Operations,Director,9,ADC Therapeutics,8297253,https://www.linkedin.com/in/ACoAAAGI5LYB_WEbFPzgtwEyJX30UzmvH_o1hUM,,ADC Therapeutics
Payam Farahani,"Sr. Director, Development and Manufacturing",Director,2,ADC Therapeutics,8297253,https://www.linkedin.com/in/ACoAABoa_6kBu0fY0gWsmqOFi7rQWzxOHGCvca0,,CMC & Technical Operations Leader | ADC + Biologics Manufacturing | External Manufacturing | IND→BLA Strategy | CDMO Gov
Alyson Naughton,Head of Supply Chain Operations,Director,5,ADC Therapeutics,8297253,https://www.linkedin.com/in/ACoAAACCD5kBulrsDE07cmzpHd_BdcZfzPYIHZI,,Head of Supply Chain Operations at ADC Therapeutics
Kirk Hayenga,Head of Mfg Tech Operations,Director,0,ADC Therapeutics,8297253,https://www.linkedin.com/in/ACoAAEUYjUEBn2CRWAF_TuSQjzc2iB_-6KGUBHo,,Head of Mfg Tech Operations at ADC Therapeutics
Lekha Gupta,Director of Chemical Manufacturing,Director,0,ADC Therapeutics,8297253,https://www.linkedin.com/in/ACoAAAkkzfABElNEuexhw07gl1CTHL1SVvmeuzc,,Ph.D. Organic Chemist | Oligonucleotide & API Process Expert | Technical Leader in Drug Development & Purification | ISO
Masanori KUROGOME,"President and Representative Director, and Site Head, Kawagoe",Vice President,0,Adragos Pharma,68553372,https://www.linkedin.com/in/ACoAACq1rv4BIKmDy-ethN0fCHklLOMeP_s8zUc,,"Adragos Pharma, President and Representative Director, and Site Head, Kawagoe"
Morgan Fridez,Deputy head of production,Director,3,Adragos Pharma,68553372,https://www.linkedin.com/in/ACoAAA8nXc4Bbvn7s7WQsQ9YS4cETRUQyCk5k2U,,Pharmaceutical production
Benjamin DELIS,Production director,Director,0,Adragos Pharma,68553372,https://www.linkedin.com/in/ACoAABP8PoIBWvK58BjZpm0ccxYk9_3Y4C9eq1g,,Head of production
Guillaume Mollandin,Head of Engineering and MSAT,Director,1,Adragos Pharma,68553372,https://www.linkedin.com/in/ACoAAAMn8b0BWE2nZSPaCmni6sweGk9P3e_7vQE,,Head of Engineering and MSAT
Gareth Williams,General Manager,Director,11,Akarana Timbers,,https://www.linkedin.com/in/ACoAAB1oq7MB8uEvbWvDlJkNSGbStGaQCO8zwm8,,General Manager at Akarana Timbers
